MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
finbert-char-ner	71	11:30:31	1	0.0125	1.4121112913455602	1.4659011363983154	0.8146	0.8525	0.8331
finbert-char-ner	72	11:43:48	2	0.0125	1.4059116832865108	1.4775642156600952	0.8123	0.8548	0.8330
finbert-char-ner	73	11:56:58	3	0.0125	1.4104087810096502	1.4647257328033447	0.8141	0.8521	0.8327
finbert-char-ner	74	12:10:17	4	0.0125	1.4037225733763017	1.4737720489501953	0.8140	0.8523	0.8327
finbert-char-ner	75	12:23:35	1	0.0063	1.4048401582166083	1.4645967483520508	0.8152	0.8519	0.8331
finbert-char-ner	76	12:36:45	2	0.0063	1.4016237566306156	1.4621638059616089	0.8150	0.8519	0.8330
finbert-char-ner	77	12:50:02	3	0.0063	1.40655347536195	1.4585236310958862	0.8154	0.8516	0.8331
finbert-char-ner	78	13:03:11	4	0.0063	1.398570479836854	1.4698688983917236	0.8140	0.8521	0.8326
finbert-char-ner	79	13:16:26	1	0.0031	1.3986120044060473	1.472752332687378	0.8127	0.8529	0.8323
finbert-char-ner	80	13:29:32	2	0.0031	1.4060791835844892	1.4631445407867432	0.8151	0.8523	0.8332
finbert-char-ner	81	13:42:46	3	0.0031	1.3965158867386152	1.4636543989181519	0.8149	0.8519	0.8330
finbert-char-ner	82	13:55:51	4	0.0031	1.3954728421924998	1.463425636291504	0.8145	0.8526	0.8331
finbert-char-ner	83	14:09:04	1	0.0016	1.3885236956038565	1.465470552444458	0.8146	0.8529	0.8333
finbert-char-ner	84	14:22:16	2	0.0016	1.3928968973879545	1.467169165611267	0.8141	0.8530	0.8331
finbert-char-ner	85	14:35:36	0	0.0016	1.391312262547091	1.4620258808135986	0.8156	0.8520	0.8334
finbert-char-ner	86	14:48:50	1	0.0016	1.3965740008923992	1.4642529487609863	0.8150	0.8524	0.8332
finbert-char-ner	87	15:02:12	2	0.0016	1.3873710497370306	1.464827060699463	0.8149	0.8525	0.8333
finbert-char-ner	88	15:15:24	3	0.0016	1.3897622238914922	1.4673155546188354	0.8148	0.8528	0.8334
finbert-char-ner	89	15:28:40	4	0.0016	1.3874361882419706	1.4655932188034058	0.8146	0.8527	0.8332
finbert-char-ner	90	15:41:58	1	0.0008	1.3922701339301824	1.4634251594543457	0.8150	0.8523	0.8332
finbert-char-ner	91	15:55:09	2	0.0008	1.390265869644453	1.4633291959762573	0.8151	0.8523	0.8333
finbert-char-ner	92	16:08:26	3	0.0008	1.3839056769257072	1.463538408279419	0.8148	0.8523	0.8331
finbert-char-ner	93	16:21:36	4	0.0008	1.3926907822770893	1.464332103729248	0.8146	0.8525	0.8331
finbert-char-ner	94	16:34:51	1	0.0004	1.3935276854713008	1.464573860168457	0.8144	0.8525	0.8330
finbert-char-ner	95	16:48:01	2	0.0004	1.3979290146497811	1.4642307758331299	0.8147	0.8525	0.8332
finbert-char-ner	96	17:01:17	3	0.0004	1.3864412930026744	1.4638264179229736	0.8149	0.8527	0.8333
finbert-char-ner	97	17:14:29	4	0.0004	1.388604941608021	1.4634369611740112	0.8148	0.8524	0.8332
finbert-char-ner	98	17:27:47	1	0.0002	1.3898711661872625	1.4643518924713135	0.8148	0.8528	0.8333
finbert-char-ner	99	17:40:59	2	0.0002	1.3857066953707042	1.4644439220428467	0.8146	0.8527	0.8332
finbert-char-ner	100	17:54:18	3	0.0002	1.3883435103878285	1.463348388671875	0.8150	0.8525	0.8333
finbert-ner	1	18:16:11	0	0.1000	12.42332305617443	18.23571014404297	0.0000	0.0000	0.0000
finbert-ner	2	18:17:44	0	0.1000	6.522865499340513	4.498193740844727	0.7048	0.5816	0.6373
finbert-ner	3	18:19:16	0	0.1000	4.84027975010422	3.570774555206299	0.7190	0.6375	0.6758
finbert-ner	4	18:20:49	0	0.1000	4.236687243359643	3.1259524822235107	0.7599	0.6736	0.7141
finbert-ner	5	18:22:29	0	0.1000	3.8322733513214304	2.844053268432617	0.7756	0.6919	0.7314
finbert-ner	6	18:24:01	0	0.1000	3.5526022236302213	2.7208211421966553	0.7436	0.7380	0.7408
finbert-ner	7	18:25:34	0	0.1000	3.3587501453903488	2.542715072631836	0.7834	0.7229	0.7519
finbert-ner	8	18:27:06	1	0.1000	3.2057792045785196	2.6322760581970215	0.7333	0.7620	0.7474
finbert-ner	9	18:28:37	0	0.1000	3.095336596171061	2.365953207015991	0.7821	0.7436	0.7624
finbert-ner	10	18:30:10	0	0.1000	2.964142153098148	2.348592758178711	0.7680	0.7648	0.7664
finbert-ner	11	18:31:43	0	0.1000	2.8778227035354518	2.263132095336914	0.7765	0.7644	0.7704
finbert-ner	12	18:33:23	0	0.1000	2.8112391405885324	2.2390365600585938	0.7716	0.7778	0.7747
finbert-ner	13	18:34:55	1	0.1000	2.7391093182113937	2.253236770629883	0.7634	0.7819	0.7726
finbert-ner	14	18:36:26	2	0.1000	2.6794736955150866	2.3264219760894775	0.7488	0.7905	0.7691
finbert-ner	15	18:37:57	0	0.1000	2.6224089178649135	2.135181427001953	0.7816	0.7796	0.7806
finbert-ner	16	18:39:30	0	0.1000	2.5766528687387145	2.071392059326172	0.7951	0.7723	0.7835
finbert-ner	17	18:41:02	1	0.1000	2.5272759251624533	2.0679478645324707	0.7828	0.7840	0.7834
finbert-ner	18	18:42:41	0	0.1000	2.4863169343216613	2.0193395614624023	0.7914	0.7855	0.7884
finbert-ner	19	18:44:13	1	0.1000	2.441593089193668	2.0386977195739746	0.7927	0.7796	0.7861
finbert-ner	20	18:45:44	0	0.1000	2.411549072595512	1.9843286275863647	0.7989	0.7816	0.7902
finbert-ner	21	18:47:16	0	0.1000	2.3730658900062993	1.9852761030197144	0.8003	0.7807	0.7904
finbert-ner	22	18:48:48	0	0.1000	2.3464884368128747	1.951556921005249	0.8147	0.7724	0.7930
finbert-ner	23	18:50:20	0	0.1000	2.3275329062024004	1.9305698871612549	0.8081	0.7805	0.7941
finbert-ner	24	18:52:00	0	0.1000	2.292229099843487	1.9085869789123535	0.8033	0.7856	0.7943
finbert-ner	25	18:53:32	0	0.1000	2.2613801041489126	1.9243483543395996	0.7950	0.7947	0.7949
finbert-ner	26	18:55:04	1	0.1000	2.2360848848174952	1.9451260566711426	0.7810	0.8026	0.7917
finbert-ner	27	18:56:36	2	0.1000	2.219816678724949	2.0028884410858154	0.7740	0.8089	0.7911
finbert-ner	28	18:58:07	3	0.1000	2.187461476655876	1.9290975332260132	0.7804	0.8083	0.7941
finbert-ner	29	18:59:38	0	0.1000	2.1696538737734907	1.8907088041305542	0.7883	0.8048	0.7964
finbert-ner	30	19:01:18	0	0.1000	2.1432012596970083	1.8495625257492065	0.8052	0.7958	0.8005
finbert-ner	31	19:02:50	1	0.1000	2.1382111835779636	1.8605809211730957	0.7929	0.8039	0.7984
finbert-ner	32	19:04:21	2	0.1000	2.1071334350034125	1.9386897087097168	0.7732	0.8151	0.7936
finbert-ner	33	19:05:52	3	0.1000	2.0954979073326543	1.8604848384857178	0.7968	0.8031	0.7999
finbert-ner	34	19:07:23	4	0.1000	2.079506918319366	1.926588773727417	0.7788	0.8132	0.7956
finbert-ner	35	19:08:53	0	0.0500	2.040809563120956	1.8339394330978394	0.7963	0.8074	0.8018
finbert-ner	36	19:10:33	1	0.0500	2.0156260226507605	1.833888292312622	0.7945	0.8066	0.8005
finbert-ner	37	19:12:04	2	0.0500	2.0083503640672697	1.845240831375122	0.7923	0.8100	0.8011
finbert-ner	38	19:13:35	0	0.0500	1.9894894563926842	1.808350920677185	0.7980	0.8067	0.8023
finbert-ner	39	19:15:07	0	0.0500	1.9846695136724029	1.8142884969711304	0.7957	0.8113	0.8034
finbert-ner	40	19:16:39	1	0.0500	1.9727335838401843	1.8248345851898193	0.7932	0.8122	0.8025
finbert-ner	41	19:18:10	0	0.0500	1.9747864097919103	1.8176476955413818	0.7940	0.8133	0.8035
finbert-ner	42	19:19:42	1	0.0500	1.9594672078606468	1.8164680004119873	0.7914	0.8139	0.8025
finbert-ner	43	19:21:21	0	0.0500	1.952351615114032	1.7890417575836182	0.7971	0.8107	0.8038
finbert-ner	44	19:22:53	0	0.0500	1.939718282447671	1.8096625804901123	0.7944	0.8147	0.8044
finbert-ner	45	19:24:25	0	0.0500	1.9343343298390228	1.7992749214172363	0.7953	0.8143	0.8047
finbert-ner	46	19:25:58	0	0.0500	1.9334094959235042	1.811340093612671	0.7949	0.8162	0.8054
finbert-ner	47	19:27:30	1	0.0500	1.9196125883726205	1.8118422031402588	0.7897	0.8179	0.8036
finbert-ner	48	19:29:02	2	0.0500	1.913165861705564	1.7856123447418213	0.7965	0.8143	0.8053
finbert-ner	49	19:30:41	3	0.0500	1.9026723515312627	1.8096306324005127	0.7930	0.8166	0.8046
finbert-ner	50	19:32:13	0	0.0500	1.9009493057083033	1.7747788429260254	0.7981	0.8157	0.8068
finbert-ner	51	19:33:45	1	0.0500	1.8977247176680174	1.7761008739471436	0.7953	0.8163	0.8057
finbert-ner	52	19:35:17	2	0.0500	1.888260785138832	1.807098627090454	0.7888	0.8190	0.8036
finbert-ner	53	19:36:48	0	0.0500	1.8841429116590969	1.7741578817367554	0.7970	0.8174	0.8071
finbert-ner	54	19:38:20	1	0.0500	1.8793432292698313	1.8073104619979858	0.7892	0.8216	0.8051
finbert-ner	55	19:39:59	0	0.0500	1.8649996661540098	1.7817039489746094	0.7943	0.8205	0.8072
finbert-ner	56	19:41:31	0	0.0500	1.8625467520839762	1.7411086559295654	0.8083	0.8129	0.8105
finbert-ner	57	19:43:04	1	0.0500	1.85002568008015	1.7471928596496582	0.8007	0.8182	0.8094
finbert-ner	58	19:44:35	2	0.0500	1.8436510735337839	1.760349154472351	0.7961	0.8199	0.8078
