timestamp, name, pci.bus_id, driver_version, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/04/13 03:14:23.833, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:19:23.835, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:19:23.835, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:24:23.836, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:24:23.837, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:29:23.838, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:29:23.838, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:34:23.839, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:34:23.840, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:39:23.841, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:39:23.842, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:44:23.842, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:44:23.843, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:49:23.844, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:49:23.845, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:54:23.846, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:54:23.846, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 03:59:23.847, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 03:59:23.848, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:04:23.849, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:04:23.850, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:09:23.851, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:09:23.852, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:14:23.853, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:14:23.853, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:19:23.855, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:19:23.855, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:24:23.857, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:24:23.857, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 04:29:23.859, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 31, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 04:29:23.860, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
